rank,attraction,state,ideal_duration,best_time,description,url_match
60, Ennis,Texas,  1-2 days,"  March - May 
             
 ","Ennis is also known as the Official Bluebonnet City of Texas, the city provides a 40 - mile drive around the bluebonnet of the Official Bluebonnet Trail of Texas, Authentic Czech food and music, and shopping in this historic district. The largest attraction in this city is the Bardwell lake that offers activities like fishing, swimming, skiing, and boating, etc., Texas Motorplex offering more than 90 plus auto racing events, Railroad Cultural Heritage Museum, Minnie McDowal Park which features the famous “Art Wall Sculpture” and the “Performance Gazebo”, Sugar Ridge Winery, and the Bluebonnet market are some of the few among many attraction in Ennis.

 
",https://www.holidify.com/images/bgImages/ENNIS.jpg
61, Waco,Texas,  1-3 days,"  April - June 
             
 ","Waco is situated between Dallas and Austin, along the Brazos River, and is the second-largest city in McLennan County and Central Texas. The city is the ultimate destination for history lovers. It features the oldest operating University in the Texas state and the oldest suspension bridge, and the most scenic views. 

 It also boasts the well - known Magnolia Market, Texas Ranger Hall of Fame Museum, and the Branch Davidian Memorial Park, among the other attractions. Situated in the heart of Texas, the city is home to one of the most beautiful markets, the Magnolia Market, which has a bunch of local vendors. The beer of Waco is also a must for the visitors.
",https://www.holidify.com/images/bgImages/WACO.jpg
62, Galveston,Texas,  1-3 days,"  October - November 
             
 ","Galveston is an island city located South of Texas. It is a major port city and also a commercial centre. It has often been referred to as the Wall-Street of the South. Holding one of the United States' largest ports, Galveston is also home to the American National Insurance Company. Known for its cultural heritage, the city hosts many music festivals and cultural shows throughout the year. 

 The city is striving to improve its education centre and even a significant tourist attraction. Interestingly, the island city also holds the second-largest municipality in the country. The Island has 32 miles of beaches; the most famous beach is the Seawall Boulevard. It also features the Moody Gardens, the Galveston Island Historic Pleasure Pier Amusement Park, The Galveston Island Waterpark, and various unique museums like the Galveston Railroad Museum Ocean Star Offshore Drilling Rig and museum, etc.
",https://www.holidify.com/images/bgImages/GALVESTON.jpg
63, Santa Fe,New Mexico,,"  September - November 
             
 ","The capital of New Mexico, Santa Fe, lies on a river tributary, heralded by the snowy peaks of the Sangre de Cristo Mountains. This enigmatic and fun state has garnered a reputation as a definitive celebration state, with its unique character that absorbs Spanish, Hispanic and Native American influences into itself. The city has a long history as a patron of the fine arts and is home to hundreds of art galleries and exhibitions. History and festivity blend together seamlessly in the city of Santa Fe.

 Arguably the most famous attraction in Santa Fe is the Georgia O'Keeffe Museum, the largest collection of paintings by the significant painter. Enthusiasts looking to whet their appetite for the fine arts can consume far more than just the exhibits at this famous house. Take a stroll down Canyon Road to witness colourful and charming streets lined by art galleries, cafes and coffee shops. This district is just one of many streets that offer up the best of New Mexican culture to any visitor. All of these charming streets of Santa Fe converge in the Plaza- a spot that is popular among both tourists and locals for its galleries, cafes and shopping outlets. Santa Fe is also known for its several Spanish colonial churches that dot the city and give it an atmosphere of historic significance. Some of the famous churches in the city include the Cathedral Basilica of St. Francis of Assisi- one of the oldest of its kind, the Loretto Chapel- famous for its columns and stained glass, and the San Miguel Mission Chapel, a structure that seems to change colours during different times of the day. Santa Fe's rich history and culture can be more academically and closely viewed in its collection of museums. The Museum of Indian Arts and Culture - Laboratory of Anthropology is the centrepiece of the entire Southwestern region of the U.S.A due to its preservation of Native American Culture. Tourists frequent the Museum of New Mexico Complex, a region that hosts four museums that trace New Mexico's heritage to distinct periods. Visitors to the city can scarcely ignore the forest-covered surroundings of the state and its natural wildlife and beauty can be observed in the Randall Davey Audubon Center, a peaceful setting that is ideal for bird watching. Other urban attractions in Santa Fe include the Liquid Light Glass and the Santa Fe farmer's market.Santa Fe is a city defined by fine arts. colonial churches and wild landscapes- it offers an experience that is distinct for its Southwestern quality and spirit. This famous city delights visitors while providing them with a unique glimpse of history and culture. 
",https://www.holidify.com/images/bgImages/SANTA-FE.jpg
64, Raleigh,North Carolina,,"  March - May and  September - November 
             
 ","Frequently featured on top ten lists due to its high quality of life and a subtle juxtaposition of the urban and natural, Raleigh's crepe myrtle lined streets make it an attractive destination in the state of North Carolina. The city is especially notable for its historic buildings, numerous museums and vibrant parks. 

 The 'City of Oaks' was planned from the start to be a capital city and as a result, is full of several recreational areas. The most famous being  Pullen Park, which paints itself in vibrant hues during autumn. The park features a carousel and is popular amongst those seeking an idyllic vacation experience. The Umstead State Park is also popular for its dense shrubbery and water streams upon which tourists can paddle boat or kayak. The JC Raulston Arboretum is another location in Raleigh known for its diverse collection of plants surrounded by a sprawling garden, a magnet for visitors. Raleigh's true strength, however, lies in its preservation of history from different periods of time. A particularly notable one is the historic Oakwood neighbourhood, famous for being a completely intact 19th-century residential community. The Yates Mill is another unmissable historic building- a water-powered mill that features machinery from the 1950s. The Mordecai Historic Park preserves the birthplace of Andrew Jackson, the 17th president of the United States and also features several 19th-century architectural wonders. Raleigh is strongly connected to its African-American heritage and this is reflected in its culture, cuisine and museums like the Pope House Museum, the Dr Martin Luther King Jr Memorial Gardens, and the 35-acre Mount Hope Cemetery. Apart from these, Raleigh is home to more than 10 specialised museums that cater to every kind of tourist including the North Carolina Museum of Natural Sciences. Museum of History and the North Carolina Museum of Art. While walking down the sheltered streets of Raleigh, the city's deep connection to the performing arts can be observed. Pullen Park is frequented by theatre companies putting up several mesmerising performances. The Burning Coal Theatre and the Duke Centre for the Performing Arts put up stage plays and musicals that shall delight any enthusiast. Raleigh hosts the North Carolina Symphony annually for ballet and the International Bluegrass Festival in celebration of the lively music genre.  Raleigh's old-style communities and enjoyable outdoors are only enhanced by the culture and mettle that one can find here. It is an important stop in the state of North Carolina.
",https://www.holidify.com/images/bgImages/RALEIGH.jpg
65, Columbus,Ohio,,"  April - May and September - October 
             
 ","Columbus is the capital city of the state of Ohio, known for its quintessential take on the American experience. The city, one of the most populous in the United States is known for its large universities, football culture and notable zoos. Columbus features several things to do and its metropolitan nature is expertly fused with its historical identity.

 Columbus features several beautiful attractions that allow visitors to interact with the spirit of the city. A famous stop in the city is The Franklin Park Conservatory and Botanical Gardens, an 88-acre conservatory complex where you can build a terrarium for yourself. The gardens are just one of Columbus's 19 Metro Parks that soften the urban skyline of the city. Each park features a new thing for tourists to do, be it hiking, rock climbing or fishing. An especially romantic destination among these pearls of nature is the Park of Roses in Whetstone Park, featuring more than 12,000 roses of every variety and colour. The most spectacular point in Columbus is The Scioto Mile, a walkway that can be observed while walking or biking that takes visitors through the downtown riverfront, providing them with the best view of the skyline. Tourists can even kayak down the Scioto River along the walkway lines. On the first Saturday of every month, tourists flock to The Short North Gallery Hop, one of the most enjoyable free things to do in Columbus. The streets of 'The Hop' are occupied by numerous art galleries and boutiques and street musicians play music late into the night. Downtown Columbus is especially distinct for its association with music- The Columbus Symphony Orchestra plays seasonally at the Columbus Commons where visitors can relax under the night sky to music. The city's other urban attractions include a ziplining experience in the dark, drive-in and reconstructed theatres, and shopping at some famous districts including the Polaris Fashion Place and the Easton Town Center. The city is also famous for its numerous museums and spectacular zoos, the latter of which includes the Columbus Zoo & Aquarium.Tourists will be able to discern the true American spirit that flows through the veins of Columbus with its enjoyable selection of attractions and juxtaposition of the old and new.
",https://www.holidify.com/images/bgImages/COLUMBUS.jpg
66, Pierre,South Dakota,," 
 
 ","The town of Pierre is located between the Cheyenne River Reservation to the northwest and the Crow Creek Reservation in the southeast. It is a landlocked Midwestern state with plenty of historical landmarks and places to visit with family. 

 Situated opposite the Missouri river, Fort Pierre was built in 1803. In the early 19th century the American Fur Company built Fort Pierre Chouteau to do business with the Native Americans. Another famous location is the South Dakota State Capitol. It began construction around 1905 and 1910. The flooring was laid by 66 Italian artists.The second level has decorations of the sixteen images of the Tree of Life, acanthus leaves, and the South Dakota state flower, the pasque flower. The House of Representatives and the Senate are located on the third floor. Nature also is bountiful in the city of Pierre. The scenic island of La Framboise Island Nature Area is located along the Missouri River and is one of the best places to visit in Pierre. When visiting, one can enjoy nature trails under the shade of trees like Russian olive, cedar, ash, and native cottonwood trees.Additionally there is a fishing dock. Families can enjoy a day out in the open at the designated picnic area close to the boat ramp. The SD Discovery Center and Aquarium is a center in Pierre that offers science opportunities to children of all ages, inspires teachers and the public to seek out scientific knowledge and create a healthy world. It promotes interesting and affordable programmes in order to promote curiosity. It engages young women grade 12 and younger, encouraging them to pick a career in science, while South Dakota History Adventures are fun field trips that highlight the history of the region. Pierre is a city with character- it promotes education, knowledge and provides a variety of locations where families can spend entire days discovering nature and history.  
",https://www.holidify.com/images/bgImages/PIERRE.jpg
67, Phoenix,Arizona,,"  November - April 
             
 ","The capital of Arizona, Phoenix boasts sunny weather all year round and was thus entitled as Valley of the Sun. The idiosyncratic beauty of Phoenix’s imposing metropolis is an addition to the already stunning desert vistas and mountain landscapes surrounding it. The seamlessly blended urban flair with the natural panorama creates a vibrant yet pleasing palate for the eye. Phoenix boasts some of the best hiking trails in the nation nestled within the surrounding Camelback Mountains and the Shaw Butte. The South Mountain Parks is the largest city park in United States and is a gateway to heaven for the thrill-seekers. The Desert Botanical Garden and the Phoenix Zoo are some interesting places to explore for all age groups.

 Besides the enchanting adventures, the city has some captivating stories from the past. The Arizona State Capitol Museum features the turning points in its history and tells tales of its journey from a territory to a metropolis. The Hall of Flame Fire Museum that was built as a tribute to the fire fighter martyrs exhibits unique fire extinguishers from around the world to commemorate their struggle.Serving as home to Frank Lloyd Wright School of architecture and Foundation, Taliesin West is an exceptional work of architecture. Phoenix art museum and the Heard museum exhibit a curious collection of modern and contemporary art that are quite thought-provoking. Phoenix’s Musical Instrument Museum is a culmination of five distinct galleries that showcases around 6,800 indigenous instruments from all over the world. But these are only just sneak peeks to the rich culture and educational hub of Phoenix.  Phoenix also has a range of interesting activities specially designed for the children in the Phoenix Children’s Museum and Arizona Science Centre. The metropolis is a paradox of quirky and captivating sites and the Old town of Scottsdale is a unique illustration of just that.
",https://www.holidify.com/images/bgImages/PHOENIX.jpg
68, Tallahassee,Florida,,"  January to May 
             
 ","Tallahassee, the state capital and College Town of Florida, is known for its rich cultural heritage and history. The place is a blend of cosmopolitan panache and southern vibe giving the tourists a unique experience. Tallahassee is home to Florida State University and Florida A and M and a hub for aspirants from all over the world. 

 The numerous art galleries in the city echo the elegant local aesthetics. The Call-Collins, a hidden treasure in the Grove Museum tell tales of the post-war times that framed the history of the US. Museum of Florida. History does an excellent job of documenting events of the cultural and historical significance of the city. The acreage holds buildings that can be dated back to times of civil war and treasure artifacts that are centuries old. The Tallahassee Museum is an amalgamation of history, native wildlife, and enchanting nature trails hosting exciting public events, fun educational tours, and dynamic art exhibitions. Tallahassee is unique in its topography from the rest of Florida, plenty with rolling hills and lengthy trails. The hills provide challenging trails for adventurous biking experiences. The Tallahassee- St. Marks Historic Railroad State Trail, a 16 miles stretch is a perfect getaway for an exotic hiking and biking escapade. Tallahassee hosts a diverse array of cuisine to satiate every food lover. The local cuisine is a whisk of southern fare and modern eatery and the result is an authentic dining experience. The craft breweries of Tallahassee mirror its knack of sharing their story through their crafts. The nightlife in the capital city is nothing short of amazing. The College Town of Florida abodes bars and night clubs of all tastes. Be it a rooftop bistro or a public house with a 90's vibe, the happy hour rush, or the high-end night clubs, the city caters to crowds of all genres.
",https://www.holidify.com/images/bgImages/TALLAHASSEE.jpg
69, Atlanta,Georgia,  1-2,"  March - May 
             
 ","The city of Atlanta has many names, but none substantiate the grandeur of the arts, music, and cultural history the city is ingrained with. The state capital of Georgia has been home to many world-renowned pioneers from music and arts, business and politics and their footprints left the city with priceless treasures.

 Noble Peace Prize winner Martin Luther King Junior was born and raised here, making Atlanta an intricate part of his journey. His ideologies and chronicles are found well preserved in the Martin Luther King Jr. National Historic Site. Another historical venue, The World of Coca Cola in Baker Street, Atlanta does an excellent job of sharing the origin story of Coca Cola with all the interesting details. But that’s not all; the Fern Bank Museum of Natural History leaves you with curious after perusing the dinosaur skeletons and the “sensing nature” experience. Take a tour of the gigantic Georgia Aquarium with more than 100,000 aquatic species on display and dive in for interaction with the sharks or walk through the acrylic tunnel for an out of the ordinary experience. If you are a Naturalist, spend a day exploring Zoo Atlanta and connect with about 1,000 species of animals from around the world, from reptiles to pandas, to quest your love for wildlife. The city of Atlanta houses some of the best collection of art from French painters to African arts and ancient Egyptian murals on pots and gold plates in the museums of High Museum of Art and Michael C. Carlos Museum. The Arabian themed Yaarab Temple Shrine Mosque built in the 1920s, now remodeled into Fox theater exhibits myriad forms of art such as ballet, operas, rock music concerts and movies round the year. The cosmopolitan city of Atlanta is home to people from diverse cultures adding to the brilliant ethical panache of the city which is concomitantly reflected in its music, arts, and literature.
",https://www.holidify.com/images/bgImages/ATLANTA.jpg
70, Springfield,Illinois,  1-2 Days,"  June - September 
             
 ","Springfield City is steeped with political history and is the corridor of power in Illinois administration. The city cradles the principles and ideologies of President Abraham Lincoln’s saga dotted across the town. The must-see sites in and around the city include some of the best heritage sites in the Country. Some of the prime attractions in Springfield City are Abraham Lincoln Presidential Library and Museum, Lincoln Home National Historic Site, Illinois State Capitoland Dana-Thomas House.

 Springfield City is a hotspot for history buffs looking to explore the saga of America’s politics and literature. Some of the other sites worth mentioning in this list are Old State Capitol, Illinois Governor's Mansion, and Lincoln-Herndon Law Offices. And for a hint of adventure take a tour of the Springfield’s Underground tunnels.
",https://www.holidify.com/images/bgImages/SPRINGFIELD.jpg
71, Saint Paul,Minnesota,  1-2 Days,"  June - August 
             
 ","The city of Saint Paul is unique in the sense that it has an old frontier town vibe intertwined in the urban foliage. Being one of the twin cities, it is a popular tourist destination during most times of the year. The Xcel Energy Centre continues to host events all round the year that attract national as well as foreign visitors.  The city is a historic hub and is dotted with parks and sanctuaries but the laid back charms of the place seem to enchant all tourists. To add to its appeal, Saint Paul also celebrates a myriad of seasonal festivals and carnivals all round the year. 

 Como Park Zoo and Conservatory is listed among the top attractions in the city that preserves a wide collection of wildlife in their natural habitat. Their impressive array of land and aquatic wildlife captivate children and adults alike. The family-friendly picnic spots and nature trails of Cherokee Park and Bruce Vento Nature Sanctuary Park are a popular destination among both locals and outsiders. The comprehensive Highland Park boasts recreation for all ages from golf courses to tennis courts even several water sports to engage with. The Hidden Falls Park is a hit among tourists looking to unwind and relax amidst the spring-fed waterfalls and sandy beach area.Besides the adventures and art, the city also boasts a rich American history that is dotted all over the town. The marvellous collection of 373 mansions in Summit Avenue is a sneak peek into the lives of the Saint Paul millionaires who inhabited the place during the late 19th and 20th Century. Tourists also look out for Minnesota History Museum, Minnesota Children’s Museum and Science Museum of Minnesota while site-seeing around town. The State Capitol and Cathedral of Saint Paul are exquisite examples of architecture that are among the must-have tourist experiences. 
",https://www.holidify.com/images/bgImages/SAINT-PAUL.jpg
72, Jackson,Mississippi,  3-4 days,"  March - May and September - November 
             
 ","The city with soul, Jackson harbours a rich natural and a diverse cultural history that is unique to the place. The city is dotted with fun-filled outdoor activities that are loved by tourists from all local and foreign places. Jackson celebrates its art and culture and boasts its history in the several museums found all over the city. To add to its appeal, the beautiful Pearl River cuts through the cityscape enriching the land with several water-sport activity zones. The eco-freaks flock to the dozen city parks that provide nature trails for camping, hiking, picnics and much more.

 The Cascade Falls and LeFleur’s Bluff State Park are two landmarks in Jackson City that are often found crowded by visitors. Adventure buffs seek out the kayaking thrills with Capital City Kayak Adventures while animal lovers venture out the Jackson Zoological Park. The Mississippi Petrified Forest has an impressive collection of fossils of prehistoric animals and footprints of dinosaurs along with petrified remains of an ancient forest. The Mississippi Museum of natural sciences, with 100,000 gallons of the aquarium and around 200 native aquatic species, a wide array of flora and fauna on the display, is a hit among both kids and adults alike.   The city is steeped with both natural and cultural history that are preserved and illustrated in the many museums around town. The old and new State Capitol Buildings, Mississippi Civil Rights Museum, Mississippi Governor's Mansion and Museum of Mississippi History are few of the many that hold the title of historic Sites of utmost importance. The quirky vibe of Fondren District in Jackson City calls to the tourists for a wholesome experience. The city with soul thrives among the top tourist destinations in the nation with its welcoming nature and diverse attractions. Jackson with its wild side seamlessly blended into the urban savannah and a rich cultural and natural history oozing out of the land makes a distinctive vacation spot that is loved by visitors of all ethnicity.
",https://www.holidify.com/images/bgImages/JACKSON.jpg
73, Jefferson City,Missouri,,"  mid- April to mid-June 
             
 ","Jefferson City, Missouri is termed as one of the most beautiful small towns in America. The city’s landscape is replete with several parks and nature trails, golf courses, and camping sites that appeal to both families and backpackers. Perhaps the most popular attractions in the city are its historic sites that are dotted all over the town. The state capitol building, Court House, and the Governor’s Mansion are few of the many architectural treasures that are visited by thousands of tourists each year. The City is nestled across the Mississippi River and boasts an enchanting landscape that adds to its appeal. 

 The city hoards a collection of nature trails and native wildlife nestled in the many parks in the heart of the city. The 644 acres of Binder Park entertain locals and foreigners alike with a myriad of activities to engage with. The sports freaks seek solace in the softball fields, golf courses, basketball, and tennis courts of Ellis-Porter Riverside Park and Joseph C. Miller Park. The Runge Natures Centre is also one of the most sought-after spots for family picnics and camping grounds.Jefferson City is renowned for its collection of historical sites and is hit among history buffs. The many historic buildings in the Jefferson Landing State Historic Site are recorded in the National Registrar of Historic Places. One of the most unique places tourists reported to have discovered is the Veterinary Medical Foundation Museum that displays more than 1000 related artefacts since the 16th century. The Missouri State Museum, Jefferson City National Cemetery, and Capital Arts Gallery are few of the many major sites in Jefferson City that are found crowded during the peak tourist season.Jefferson City thrives on with its rich cultural and communal history anchoring its metropolis. While there is plenty for a family vacation, the wilderness of the city and its culture too never ceases to impress the solo travellers.
",https://www.holidify.com/images/bgImages/JEFFERSON-CITY.jpg
74, Trenton,New Jersey,  2-3 days,"  May - June 
             
 ","Trenton, despite being one the first few cities to achieve independence, still retains some of the Colonial charms that make the place so unique in its attractions. The city is dotted with several historic sites that chronicle the tales from the war times. Trenton is most popular among the history buffs and tourists looking to explore the old town vibes to its core. The City Parks also attract both locals and foreigners who come seeking out adventure in the quaint town.

 The 100 acres of Cadwalader Park is the largest and oldest city park that is home to beautiful landscapes and nature trails. Tourists flock to Cadwalader to seek resort among the green foliage covered trails and the adjacent canal pathway. On the outskirts of Trenton is another recreational area, The John A. Roebling Park which provides for fishing, kayaking, and hiking trails that is a popular attraction among tourists and locals alike. Other popular city parks include Trenton Recreation Department, Mill Hill Park, Franklin Park, and Hetzel park.Trenton boasts a rich cultural as well as artistic heritage that is most sought out among the tourists. New Jersey Statehouse and William Trent House Museum are two most prominent historic buildings of the state which are also appreciated for their architectural excellence. While the Old Barracks Museum is famous for its collection of colonial artifacts, the New Jersey State Museum is popular among tourists for its fascinating collection of archaeological remains and ethnographic artifacts. Trenton celebrates its artists by showcasing varied art forms in the Artworks visual art centre, Passage Theatre Company, and the Grounds for Sculpture. The unconventional old town vibe of the city seems to enchant tourists who visit Trenton. The city’s quaint charms are reflected in the art and culture that envelopes the place and even seems to add to its appeal. 
",https://www.holidify.com/images/bgImages/TRENTON.jpg
75, Columbia,South Carolina,,"  May - September 
             
 ","Among the many interesting places in South Carolina is the city of Columbia. The city has some of the most amazing beaches, hill stations, valleys and tropical climate. Every year, hundreds of tourists throng the city for various adventure trips in the hills.

 Apart from adventure and nature, Columbia has a very deep and rich history that is aptly shown through a large number of museums spread throughout the city. For civilian and military history, places like Fort Jackson and South Carolina State Museum are like a heaven on Earth for visitors. For those who have a taste in classical art, the best spot to visit is the Columbia Museum of Art. It has classic paintings on Renaissance and rare glass art. Apart from them, wildlife enthusiasts and children love the animals put on display in the Riverbanks Zoo, along the bank of River Saluda. Even though the zoo is relatively small in size, it has some of the rarest species from all around the world like Australian Gold Coast koala and gorillas. One can cover all the sections of the zoo on foot and children under two are admitted free of charge. The best part is the city does not look like a concrete jungle as it has three perennial rivers flowing through it giving it a nickname of The River City. Saluda, Broad and Congaree rivers provide lots of space and scope for water sports, the experiences of which are unique to the place. For kayaking, a special stretch between north-end of Columbia Riverbanks Zoo and River Saluda is reserved. This water sports zone is an all-time favourite with the locals.Citizens of Columbia are proud of the vast open gardens the city offers. Some of these gardens are home to rare breeds of exotic flowering plants. Most prominent example of such gardens is Hampton – Preston. You will be even mesmerized by the buildings there, which were the earliest ones to be built there. The ultimate highlight of the city is the St. Patrick’s Day Festival which is celebrated with a lot of pomp, show and parades. 
",https://www.holidify.com/images/bgImages/COLUMBIA.jpg
76, Salt Lake City,Utah,  2-3 days,"  September - October 
             
 ","Salt Lake City, a scaled-down version of great Utah, is as exciting as the rest of the State. Take a guided city tour on a bike or escape to the pristine lakeside for camping and fishing, take a hike in the Bryce Canyon or abscond to the Grandeur Peak for a splendor view of the city and the mountains.

 Salt Lake City, founded by the Mormons, is lauded with their history and culture. Temple square, Utah State Historical Society, Devereaux House, the renowned Mormon trail is where you will find everything, from their history to their role in the city’s growth over the centuries. Tour of the largest man-made open pit mine, Bingham Canyon Open Pit Copper Mine is an experience not to be missed when in the city. But if one craves a serene episode, touring the Red Butte gardens, enjoying the sunsets in the Great Salt Lake.The remains of the Salt Lake 2002 Olympic Games in the Olympic park provide a range of exciting summer and winter activities. Spread your wings and engage in a guided skydiving pursuit or take a hike in the daring wild trails in Bryce Canyon for a salty sip of the City’s adventure edge. On the east side of the Salt Lake Valley is the Millcreek Canyon in the Wasatch Mountains, ideal for solo hiking, family picnics, and camping. The city is in a valley surrounded by mountains, with spectacular caves and saltwater pans enhancing the beauty of the landscape. The history of the Mormons and their art and culture blended with an urban twist gives a fine edge to the Salt Lake City experience.
",https://www.holidify.com/images/bgImages/SALT-LAKE-CITY.jpg
77, Richmond,Virginia,  2-3 days,"  May to June and September to October 
             
 ","Richmond city is a mix of art and culture embedded in the network of rivers and hills. While the James river is the heart and soul of the city, hiking and climbing adventures of Forest Hill Park are not to be missed. The historic capital of Virginia is no doubt dotted with a plethora of antique sites from before the Civil War which makes it the ideal destination for history buffs too. 

 The city is also a rich cultural hub and fosters many art museums and studios exhibiting artistic heirlooms from around the globe. The Virginia Museum of Fine Arts boasts an excellent collection of artworks of antique Art Deco and Art Nouveau as well as modern and contemporary styles. Virginia Museum of History and Culture vividly illustrates the natural and cultural history of the State exhibiting more than 500 artifacts.The City was pivotal to the political and industrial scenario during the Civil War and was repeatedly struck by the colonial forces to gain control. This made several sites in the city, over the century, monumental to National history. Maymont museum, Church Hill Historic District, and Virginia State Capitol are some of the most visited tourist attractions around town. American Civil War Center at Historic Tredegar is another interesting Civil war history Museum that exhibits artifacts from the ruins of the Tredegar Ironworks.
",https://www.holidify.com/images/bgImages/RICHMOND.jpg
78, Carson City,Nevada,,"  June - September 
             
 ","The capital of Nevada, Carson City is the heart and soul of the state. The city reverberates with the history of the four tribes that nestled in the area for about 6000 years. The Carson City Historic District preserves all these and more from the Victorian era. All along the Kit Carson Trail are more than 60 features of museums, churches, and colonial-style buildings that are excellent illustrations of architecture.

 The most noteworthy among these are Nevada State Museum, Nevada State Capitol Building, Ormsby County Courthouse, and the Heroes Memorial Building. The city has a rich cultural heritage and fosters the ethnic memoirs of the native Indians in The Stewart Indian School Cultural Center & Museum. Brewery Arts Centre in the heart of Carson City was established in 1975 to enrich the community with artistic ventures while creating more economic growth. They organize varied events such as pottery, painting, sculpting, and music for several age groups that are both fun and inspiring.The city is flushed with numerous waterfalls and hiking trails along the Tahoe Lake ranging from beginner to advanced that are dotted with scenic landscapes all along. The city invites a plethora of cyclists all year round, scouting the lanes of Kit Carson Trail and the V&T Trails while enjoying the aesthetically pleasing foliage-covered roads. The city is considered a paradise for golf enthusiasts and has a plethora of golf courses that even the amateurs would enjoy.The City is a vacation spot all year round. The Carson ranges and trails around Lake Tahoe is an exceptional ski destination. Tourists every year flock to these ranges for cross-country skiing, snow-mobile, snow-shoe, snow-tube, and much more. During the summers, Lake Tahoe and The Carson River Aquatic Trail is popular among the water enthusiasts.Carson City fosters a diverse historical background along with stunning vistas complementing its ethnic aesthetics weaving an experience that leaves a mark on your memory.
",https://www.holidify.com/images/bgImages/CARSON-CITY.jpg
79, Bismarck,North Dakota,,"  July 
             
 ","Bismarck is the most underrated city in the Northern region of the United States because it offers less sporting avenues and adventure but more of history. Still, it is a beautiful destination. Its unassuming place in the travel list, does injustice to the vast amount of experiences it provides.

 A majority of tourist spots in the city are heavily reliant on culture, art and history. For those who have a lot of time, interest and rich taste in medieval and pre-historic history, the city’s museums are an absolute bliss. Major ones include State Historical Society of North Dakota, North Dakota Heritage Centre, Gateway to Science Centre and State Capitol. They are a treat to the eyes. The best part is that all these places are located just minutes away from each other. Downtown Bismarck has great art galleries. Most of the frequented places include Art Gallerie, Main Street and Downtown Artist Cooperative. North Dakota Heritage Centre has regional artefacts, dinosaur skeletons, prehistoric age articles, Native American crafts and few contemporary history pieces. Few museums also showcase how Europeans expanded Westwards in America.A lot of adventure is concentrated to a few selected spots in the city where adventure-lovers are found in good numbers. The most amazing trekking trail is at Theodore Roosevelt National Park. River Cruises are available at economic rates along the banks of Missouri River. Also, the riverbank provides an amazing opportunity for long walks and different kinds of water sport. People who enjoy skiing visit Huff Hills ski area. It is a wonderful place. At a short distance is located General Sibley Park, where camping is done.  People who seek some silence and alone time visit Missouri riverfront. An excellent choice and at a little distance from there, one can opt for driving dust bikes at The Dessert.  Wildlife of this region is very much unique. Bismarck is blessed to have an excellent geographical location supporting huge bio-diversity. Especially the Dakota Zoo is home to many exotic breeds like the bald eagle, American bison, lemur and Bengal tiger. At a stone’s throw distance is located The Superslide Amusement Park. Children under two are admitted without any charge. 
",https://www.holidify.com/images/bgImages/BISMARCK.jpg
80, Des Moines,Iowa,,"  June - mid September 
             
 ","With a well-rooted culture, Des Moines is a paradise for people looking to indulge in the local arts of the state of Iowa. Jam-packed with botanical gardens and sculpture parks as well, a small trip doesn’t do justice to this little yet proud city.

 The key attraction of the city is the prestigious state capitol with 150+ years of history behind it. The golden dome atop the building is a sight to behold which paves the way for the astounding stone carvings and a mesmerizing art collection. Des Moines art center and state historical museum are also renowned for their enchanting paintings and antiques.For people who prefer to spend their time with Mother Nature ought to visit Pappajohn Sculpture Park and the Greater Des Moines Botanical Garden for a blissful time. They both sport a range of flora mingled with the artistic approach of the city itself. The Blank Park Zoo is another crowd-pleaser for the fauna loving folks. With an exquisite assortment of exotic species from all around the world, no wonder it draws tourists all year around.Des Moines is no slouch on the food scene either. Since Iowa is a farming centric state, the city itself revolves around its delectable local food. At the center of this, is the Downtown Farmers market which has around 300 vendors selling local products such as fruit, vegetables, and meat. With no form of entertainment left behind, Des Moines is a city to visit but never forget.
",https://www.holidify.com/images/bgImages/DES-MOINES.jpg
81, Indianapolis,Indiana,,"  End of May - mid of October 
             
 ","Likewise known to many as Indy, Indianapolis is the capital city of the Hoosiers. A perfect blend of natural and urban retreats, its cityscape is shaped by glorious museums, zooming race cars, lush gardens, scenic trails, and tranquil streams. The hallmark of this city, however, is Indy 500. Held in May during the Memorial Day weekend, it is a 500-mile motor race that sets the adrenaline rushing of millions of spectators every year. It is more of a prestigious tradition than an annual event. Exhibiting the history behind its renowned speedway is the Indianapolis Motor Speedway Museum located inside the same complex.

 The city has a plethora of small and big attractions commemorating the glorious historical tales of its people. Standing tall in the very heart of the city is a 284 ft tower named the Monument Circle. Atop its observation deck, one can capture the scenic skyline of Indianapolis. Another incomparable and too good to miss for history buffs is the Children's Museum of Indianapolis.Once done marvelling the exhibits, head to Downtown where one can go biking on the well-paved Indianapolis Cultural Trail and enjoy the charming vistas of the city along the way. Explore the urban space around White River State Park in pedal boats. A stroll away from this park are Indiana State Museum and Indianapolis Zoo, which houses over 214 wildlife species and 30,000 varieties of plants.With days passed in touring and indulging savoury dishes at cafes, and nights spent listening to groovy music at a bar, one leaves Indianapolis with countless memories and a craving to return to its charming abode.  
",https://www.holidify.com/images/bgImages/INDIANAPOLIS.jpg
